OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,ListOfAllPropertyUseTypes,LargestPropertyUseType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),Electricity(kWh),ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,Âgebâtiment,out_clas,consumption_rate_Electricity,consumption_rate_Gas,consumption_rate_Steam,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor
495,2016,NonResidential,Medical Office,98105.0,1145000310,4,NORTHEAST,1.0,4,191276,Medical Office,Medical Office,21.0,87.69999695,266.3999939,8422861.0,2346217.25,Compliant,77.99,0.41,22,Low,High Usage,High Usage,Low Usage,0.50187,0.49813,191276.0,47819.0
498,2016,NonResidential,Hospital,98109.0,1361300055,3,LAKE UNION,1.0,7,351530,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),23.0,200.3000031,465.1000061000001,43178016.0,7849323.5,Compliant,1032.63,2.94,16,Low,High Usage,High Usage,Low Usage,0.572,0.428,351530.0,50218.571
500,2016,NonResidential,Supermarket / Grocery Store,98125.0,1453601660,5,NORTH,1.0,2,308965,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,78.0,122.59999850000001,310.89999389999997,14843382.0,3130371.0,Compliant,277.98,0.9,21,Low,High Usage,High Usage,Low Usage,0.39191,0.60809,308965.0,154482.5
503,2016,NonResidential,Supermarket / Grocery Store,98134.0,1824049003,2,GREATER DUWAMISH,1.0,1,63225,Supermarket/Grocery Store,Supermarket/Grocery Store,100.0,103.1999969,323.89999389999997,6522551.5,1911650.25,Compliant,45.47,0.72,8,Low,High Usage,Low Usage,Low Usage,1.0,0.0,63225.0,63225.0
504,2016,Nonresidential COS,Other,98118.0,1824049020,1,DELRIDGE,0.0,1,113780,"Office, Other - Services",Other - Services,,35.29999924,64.09999847,4021869.0,431091.6875,Compliant,121.98,1.07,61,Low,High Usage,High Usage,Low Usage,1.0,0.0,inf,113780.0
507,2016,NonResidential,Warehouse,98134.0,1824049063,2,GREATER DUWAMISH,1.0,1,243044,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,100.0,4.3000001910000005,9.0,1396082.25,205444.5938,Compliant,41.8,0.17,17,Low,High Usage,High Usage,Low Usage,1.0,0.0,243044.0,243044.0
508,2016,NonResidential,Other,98103.0,1825049147,6,LAKE UNION,1.0,3,280252,"Office, Parking, Retail Store",Parking,,93.0,291.89999389999997,11521702.0,3376817.5,Compliant,80.32,0.29,15,Low,High Usage,Low Usage,Low Usage,0.44224,0.55776,280252.0,93417.333
513,2016,NonResidential,Other,98109.0,1925049022,7,MAGNOLIA / QUEEN ANNE,1.0,3,66462,"Other, Parking",Other,,95.5,299.89999389999997,6876439.5,2015368.75,Compliant,47.94,0.72,64,Low,High Usage,Low Usage,Low Usage,0.80443,0.19557,66462.0,22154.0
514,2016,NonResidential,Retail Store,98133.0,1926049033,5,NORTHWEST,1.0,1,131387,Retail Store,Retail Store,72.0,82.90000153,234.0,8949319.0,2258064.0,Compliant,110.46,0.84,19,Low,High Usage,High Usage,Low Usage,1.0,0.0,131387.0,131387.0
516,2016,NonResidential,Other,98133.0,1926049215,5,NORTHWEST,6.0,1,111900,"Parking, Strip Mall",Strip Mall,,81.09999847,193.0,10079993.0,1872845.375,Compliant,226.43,2.02,52,Low,High Usage,High Usage,Low Usage,1.0,0.0,18650.0,111900.0
